단어(0) : 		품사 :  SW 
단어(1) : 촉각		품사 : NNG 
단어(2) : BBC		품사 : SL 
단어(3) : 꼬지		품사 : NNG 
단어(4) : 미심쩍		품사 : VA 
단어(5) : 녹아내리		품사 : VV 
단어(6) : 동료		품사 : NNG 
단어(7) : 者		품사 : SH 
단어(8) : 가감		품사 : NNG 
단어(9) : 미봉		품사 : NNG 
단어(10) : 가객		품사 : NNG 
단어(11) : 예상자		품사 : NNG 
단어(12) : 전두환		품사 : NNP 
단어(13) : 조명		품사 : NNG 
단어(14) : 처리		품사 : NNG 
단어(15) : 민법		품사 : NNG 
단어(16) : 경창헌		품사 : NNP 
단어(17) : 오랫동안		품사 : NNG 
단어(18) : 터트리		품사 : VV 
단어(19) : 국제재활원		품사 : NNP 
단어(20) : 耐		품사 : SH 
단어(21) : 마사오		품사 : NNP 
단어(22) : 로고		품사 : NNG 
단어(23) : 전자		품사 : NNG 
단어(24) : 국제선		품사 : NNG 
단어(25) : 건설과장		품사 : NNG 
단어(26) : 고전학		품사 : NNG 
단어(27) : 포인트		품사 : NNG 
단어(28) : 전입		품사 : NNG 
단어(29) : 寄語前村諸子輩		품사 : SH 
단어(30) : 파이낸셜타임스		품사 : NNP 
단어(31) : 찬우		품사 : NNP 
단어(32) : 기부금		품사 : NNG 
단어(33) : 발명자		품사 : NNG 
단어(34) : 韓美聯合措置		품사 : SH 
단어(35) : !		품사 : SF 
단어(36) : "		품사 : SS 
단어(37) : 전쟁		품사 : NNG 
단어(38) : %		품사 : SW 
단어(39) : 꼭지		품사 : NNG 
단어(40) : 니까요		품사 : EF 
단어(41) : &		품사 : SW 
단어(42) : 종려		품사 : NNG 
단어(43) : '		품사 : SS 
단어(44) : (		품사 : SS 
단어(45) : )		품사 : SS 
단어(46) : 처마		품사 : NNG 
단어(47) : 주춤주춤		품사 : MAG 
단어(48) : 상당수		품사 : NNG 
단어(49) : ,		품사 : SP 
단어(50) : -		품사 : SS 
단어(51) : 적정		품사 : NNG 
단어(52) : .		품사 : SF 
단어(53) : 한국전쟁		품사 : NNP 
단어(54) : 각개		품사 : NNG 
단어(55) : 0		품사 : SN SO 
단어(56) : 1		품사 : SN 
단어(57) : 2		품사 : SN 
단어(58) : 3		품사 : SN 
단어(59) : 꼬집		품사 : VV 
단어(60) : 4		품사 : SN 
단어(61) : 각각		품사 : MAG NNG 
단어(62) : 5		품사 : SN 
단어(63) : 6		품사 : SN 
단어(64) : 고생담		품사 : NNG 
단어(65) : 7		품사 : SN 
단어(66) : 8		품사 : SN 
단어(67) : 9		품사 : SN 
단어(68) : :		품사 : SP 
단어(69) : ;		품사 : SP 
단어(70) : 포획		품사 : NNG 
단어(71) : <		품사 : SS 
단어(72) : 옥수장족		품사 : NNP 
단어(73) : =		품사 : SW 
단어(74) : 적절		품사 : XR 
단어(75) : >		품사 : SS 
단어(76) : 표준		품사 : NNG 
단어(77) : ?		품사 : SF 
단어(78) : A		품사 : SL 
단어(79) : B		품사 : SL 
단어(80) : 석각사		품사 : NNP 
단어(81) : 정명화		품사 : NNP 
단어(82) : C		품사 : SL 
단어(83) : 차입		품사 : NNG 
단어(84) : D		품사 : SL 
단어(85) : 얼씨구나		품사 : IC 
단어(86) : E		품사 : SL 
단어(87) : 단호		품사 : XR 
단어(88) : F		품사 : SL 
단어(89) : G		품사 : SL SW 
단어(90) : 바이푼		품사 : NNG 
단어(91) : 1000		품사 : SN 
단어(92) : H		품사 : SL 
단어(93) : 싸가지		품사 : NNG 
단어(94) : I		품사 : SL 
단어(95) : J		품사 : SL 
단어(96) : 자유시		품사 : NNG 
단어(97) : K		품사 : SL 
단어(98) : 보너스		품사 : NNG 
단어(99) : M		품사 : SL SW 
단어(100) : 搜査便宜		품사 : SH 
단어(101) : N		품사 : SL 
단어(102) : O		품사 : SL 
단어(103) : P		품사 : SL 
단어(104) : Q		품사 : SL 
단어(105) : R		품사 : SL 
단어(106) : 키모노		품사 : NNG 
단어(107) : S		품사 : SL 
단어(108) : T		품사 : SL SW 
단어(109) : 차익		품사 : NNG 
단어(110) : 차이		품사 : NNG 
단어(111) : U		품사 : SL 
단어(112) : W		품사 : SL 
단어(113) : 법주사		품사 : NNP 
단어(114) : X		품사 : SL 
단어(115) : Y		품사 : SL 
단어(116) : [		품사 : SS 
단어(117) : ]		품사 : SS 
단어(118) : 官民間		품사 : SH 
단어(119) : 교육청		품사 : NNG 
단어(120) : `		품사 : SS 
단어(121) : a		품사 : SL 
단어(122) : 정연		품사 : XR 
단어(123) : 훑어가		품사 : VV 
단어(124) : b		품사 : SL 
단어(125) : c		품사 : SL 
단어(126) : 석가사		품사 : NNP 
단어(127) : 차장		품사 : NNG 
단어(128) : 전적		품사 : NNG 
단어(129) : 되놈		품사 : NNG 
단어(130) : 정열		품사 : NNG 
단어(131) : g		품사 : SW 
단어(132) : 저조		품사 : NNG 
단어(133) : 同義語		품사 : SH 
단어(134) : m		품사 : SW 
단어(135) : 종로		품사 : NNP 
단어(136) : 리얼오디오		품사 : NNG 
단어(137) : s		품사 : SL 
단어(138) : 2336		품사 : SN 
단어(139) : t		품사 : SL SW 
단어(140) : 턱없이		품사 : MAG 
단어(141) : 절이		품사 : VV 
단어(142) : w		품사 : SW 
단어(143) : 아데노신		품사 : NNG 
단어(144) : 싸돌아다니		품사 : VV 
단어(145) : 알라이아		품사 : NNP 
단어(146) : {		품사 : SS 
단어(147) : 수평선		품사 : NNG 
단어(148) : }		품사 : SS 
단어(149) : ~		품사 : SO 
단어(150) : 韓美友好		품사 : SH 
단어(151) : 랭스		품사 : NNP 
단어(152) : 전제		품사 : NNG 
단어(153) : 착잡		품사 : XR 
단어(154) : 번개		품사 : NNG 
단어(155) : 分量		품사 : SH 
단어(156) : 총감독		품사 : NNG 
단어(157) : 동류		품사 : NNG 
단어(158) : 肉		품사 : SH 
단어(159) : 간간		품사 : MAG 
단어(160) : 번갈		품사 : VV 
단어(161) : 가게		품사 : NNG 
단어(162) : 에이즈		품사 : NNG 
단어(163) : 경제학		품사 : NNG 
단어(164) : 방랑		품사 : NNG 
단어(165) : 제압		품사 : NNG 
단어(166) : 삼천리		품사 : NNP 
단어(167) : 오징어		품사 : NNG 
단어(168) : 도미		품사 : NNG 
단어(169) : 가결		품사 : NNG 
단어(170) : 천만		품사 : NR 
단어(171) : 장편		품사 : NNG 
단어(172) : 백수광부		품사 : NNG 
단어(173) : 초경		품사 : NNG 
단어(174) : 참여		품사 : NNG 
단어(175) : ­		품사 : SS 
단어(176) : 쿼터		품사 : NNG 
단어(177) : 타르		품사 : NNG 
단어(178) : 아무튼		품사 : MAG 
단어(179) : 諸葛亮		품사 : SH 
단어(180) : ±		품사 : SW 
단어(181) : 천막		품사 : NNG 
단어(182) : 제안		품사 : NNG 
단어(183) : ·		품사 : SP 
단어(184) : 페르샤		품사 : NNP 
단어(185) : 입히		품사 : VV 
단어(186) : 呪禁業		품사 : SH 
단어(187) : 가격		품사 : NNG 
단어(188) : 꽃잎		품사 : NNG 
단어(189) : 생각나		품사 : VV 
단어(190) : 정명훈		품사 : NNP 
단어(191) : 들창문		품사 : NNG 
단어(192) : 무한		품사 : NNG 
단어(193) : 菊譜		품사 : SH 
단어(194) : 지서장		품사 : NNG 
단어(195) : 차전		품사 : NNB 
단어(196) : 도박		품사 : NNG 
단어(197) : 문화사		품사 : NNG 
단어(198) : 사가		품사 : NNG 
단어(199) : 사각		품사 : NNG 
단어(200) : 도발		품사 : NNG 
단어(201) : 胎		품사 : SH 
단어(202) : 영국령		품사 : NNG 
단어(203) : 가계		품사 : NNG 
단어(204) : 스케일		품사 : NNG 
단어(205) : 뮤직박스		품사 : NNP 
단어(206) : ×		품사 : SO SW 
단어(207) : 합의서		품사 : NNG 
단어(208) : 무해		품사 : XR 
단어(209) : 물품		품사 : NNG 
단어(210) : 기왓조각		품사 : NNG 
단어(211) : 共非理		품사 : SH 
단어(212) : 기업군		품사 : NNG 
단어(213) : 비만아		품사 : NNG 
단어(214) : 디자인전		품사 : NNG 
단어(215) : 가공		품사 : NNG 
단어(216) : 찬장		품사 : NNG 
단어(217) : 동린		품사 : NNG 
단어(218) : 꾸리		품사 : VV 
단어(219) : 저주		품사 : NNG 
단어(220) : 동리		품사 : NNG 
단어(221) : 절전		품사 : NNG 
단어(222) : 차제		품사 : NNG 
단어(223) : 초과		품사 : NNG 
단어(224) : ㄹ수록		품사 : EC 
단어(225) : 美軍		품사 : SH 
단어(226) : 상업은행		품사 : NNP 
단어(227) : 래야		품사 : EC 
단어(228) : 한결같		품사 : VA 
단어(229) : 가곡		품사 : NNG 
단어(230) : 柳章植		품사 : SH 
단어(231) : 각계		품사 : NNG 
단어(232) : 마즈다		품사 : NNP 
단어(233) : 제약		품사 : NNG 
단어(234) : 추스르		품사 : VV 
단어(235) : 대포		품사 : NNG 
단어(236) : 대폭		품사 : NNG MAG 
단어(237) : 재판		품사 : NNG 
단어(238) : 표지		품사 : NNG 
단어(239) : 널뛰기		품사 : NNG 
단어(240) : 자효		품사 : NNG 
단어(241) : 제어		품사 : NNG 
단어(242) : 開放		품사 : SH 
단어(243) : 전년도		품사 : NNG 
단어(244) : 앤터니		품사 : NNP 
단어(245) : 발리		품사 : VV 
단어(246) : 박명		품사 : NNG 
단어(247) : 점유		품사 : NNG 
단어(248) : BJP		품사 : SL 
단어(249) : 까딱이		품사 : VV 
단어(250) : 절제		품사 : NNG 
단어(251) : 삭강		품사 : NNG 
단어(252) : 不變態		품사 : SH 
단어(253) : 절정		품사 : NNG 
단어(254) : 기억나		품사 : VV 
단어(255) : 답하		품사 : VV 
단어(256) : 가관		품사 : NNG 
단어(257) : 債權銀		품사 : SH 
단어(258) : 절절		품사 : XR 
단어(259) : 삭감		품사 : NNG 
단어(260) : 고발인		품사 : NNG 
단어(261) : 밀봉		품사 : NNG 
단어(262) : 촌계		품사 : NNG 
단어(263) : 정우		품사 : NNP 
단어(264) : 푸우		품사 : NNP 
단어(265) : 문항		품사 : NNG 
단어(266) : 철망		품사 : NNG 
단어(267) : 장보기		품사 : NNG 
단어(268) : 각광		품사 : NNG 
단어(269) : 잊히		품사 : VV 
단어(270) : 공공시설		품사 : NNG 
단어(271) : 적중		품사 : NNG 
단어(272) : 감사원		품사 : NNG 
단어(273) : 굉장히		품사 : MAG 
단어(274) : 간격		품사 : NNG 
단어(275) : 창업		품사 : NNG 
단어(276) : 채권단		품사 : NNG 
단어(277) : 겹당저고리		품사 : NNG 
단어(278) : 구덩이		품사 : NNG 
단어(279) : 문학		품사 : NNG 
단어(280) : 새까맣		품사 : VA 
단어(281) : 에드워드		품사 : NNP 
단어(282) : 문하		품사 : NNG 
단어(283) : 간결		품사 : XR 
단어(284) : 정욕		품사 : NNG 
단어(285) : 잔혹		품사 : NNG 
단어(286) : 덩이		품사 : NNG 
단어(287) : 청렴		품사 : NNG 
단어(288) : 熱心黨		품사 : SH 
단어(289) : 정원		품사 : NNG 
단어(290) : 用兵		품사 : SH 
단어(291) : 정월		품사 : NNG 
단어(292) : 도범		품사 : NNG 
단어(293) : 지나오		품사 : VV 
단어(294) : 동베를린		품사 : NNP 
단어(295) : 抽象		품사 : SH 
단어(296) : 有面首者		품사 : SH 
단어(297) : 대표		품사 : NNG 
단어(298) : 반면		품사 : NNG 
단어(299) : 산간		품사 : NNG 
단어(300) : 미스터리		품사 : NNG 
